business_id,,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,Score,date,type
10,0,10,TIRAMISU KITCHEN,033 BELDEN PL,San Francisco,CA,94104,37.791116,-122.403816,,98,20121114,routine
12,5,12,KIKKA,250 EMBARCADERO  7/F,San Francisco,CA,94105,37.788613,-122.393894,,100,20121120,routine
17,9,17,GEORGE'S COFFEE SHOP,2200 OAKDALE AVE ,San Francisco,CA,94124,37.741086,-122.401737,14155531470.0,100,20120823,routine
19,13,19,NRGIZE LIFESTYLE CAFE,"1200 VAN NESS AVE, 3RD FLOOR",San Francisco,CA,94109,37.786848,-122.421547,,100,20121127,routine
24,18,24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,"500 CALIFORNIA ST, 2ND  FLOOR",San Francisco,CA,94104,37.792888,-122.403135,,100,20121018,routine
29,23,29,CHICO'S PIZZA,131 06TH ST ,San Francisco,CA,94103,37.774722,-122.406761,14155251111.0,87,20121228,routine
31,28,31,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST ,San Francisco,CA,94133,37.807155,-122.419004,,100,20121217,routine
37,33,37,CAFE BISTRO,4141 GEARY BLVD ,San Francisco,CA,94118,37.780963,-122.463739,,96,20130130,routine
40,38,40,MO'S COFFEE BAR,750 FOLSOM ST ,San Francisco,CA,94107,37.782674,-122.400456,,100,20121213,routine
45,42,45,CHARLIE'S DELI CAFÉ,3202 FOLSOM ST ,San Francisco,CA,94110,37.747114,-122.413641,,96,20121126,routine
48,48,48,ART'S CAFE,747 IRVING ST ,San Francisco,CA,94122,37.764013,-122.465749,,90,20130327,routine
50,53,50,SUSHI ZONE,1815  MARKET ST. ,San Francisco,CA,94103,37.771437,-122.423892,14155621114.0,96,20130328,routine
54,59,54,RHODA GOLDMAN PLAZA,2180 POST ST ,San Francisco,CA,94115,37.784626,-122.437734,14155345060.0,96,20130326,routine
56,64,56,CAFE X + O,1799 CHURCH ST ,San Francisco,CA,94131,37.742325,-122.426476,14155823535.0,94,20130327,routine
58,69,58,OASIS GRILL,91 DRUMM ST ,San Francisco,CA,94111,37.794483,-122.396584,,100,20130207,routine
61,73,61,CHOWDERS,PIER 39  SPACE A3,San Francisco,CA,94133,37.80824,-122.410189,,96,20130329,routine
63,77,63,"DELI-PUB CAFE, THE",301 CORTLAND AVE ,San Francisco,CA,94110,37.739268,-122.418367,14155281631.0,94,20121002,routine
66,81,66,STARBUCKS COFFEE,1800 IRVING ST ,San Francisco,CA,94122,37.763578,-122.477461,,100,20130201,routine
67,87,67,REVOLUTION CAFÉ,3248 22ND ST ,San Francisco,CA,94110,37.755419,-122.419542,,90,20130129,routine
71,93,71,KAPPA RESTAURANT,1700 POST ST K,San Francisco,CA,94115,37.785567,-122.430074,14155676004.0,100,20120529,routine
73,94,73,DINO'S PIZZA DELI,2101 FILLMORE ST ,San Francisco,CA,94115,37.788932,-122.433895,,92,20120514,routine
76,98,76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,"500 CALIFORNIA ST, 3RD FLOOR",San Francisco,CA,94104,37.792888,-122.403135,,100,20121018,routine
77,103,77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,"500 CALIFORNIA ST, BASEMENT",San Francisco,CA,94104,37.792888,-122.403135,,100,20121018,routine
80,108,80,LAW SCHOOL CAFE,2199  ST ,San Francisco,CA,94117,37.774941,-122.452797,,100,20130328,routine
81,113,81,CLUB ED/BON APPETIT,2350 TURK ST ,San Francisco,CA,94117,37.778468,-122.448484,,96,20130417,routine
83,117,83,CHEZ MAMAN,1453 18TH ST ,San Francisco,CA,94107,37.762513,-122.397169,14155378680.0,88,20130204,routine
85,121,85,EL MAJAHUAL RESTAURANT,1142 VALENCIA ST,San Francisco,CA,94110,37.754687,-122.420945,14155827514.0,82,20121211,routine
88,124,88,J.B.'S PLACE,1435 17TH ST ,San Francisco,CA,94107,37.765003,-122.398084,,85,20130415,routine
95,129,95,VEGA,419 CORTLAND AVE ,San Francisco,CA,94110,37.739207,-122.417447,,96,20120705,routine
98,133,98,XOX TRUFFLES,754 COLUMBUS AVE ,San Francisco,CA,94133,37.801665,-122.412104,,89,20121204,routine
99,137,99,A-1 CAFE RESTAURANT,779 CLAY ST ,San Francisco,CA,94108,37.794293,-122.405967,,90,20130306,routine
101,141,101,CABLE CAR CORNER,1099 POWELL ST ,San Francisco,CA,94108,37.794615,-122.409705,,96,20121210,routine
102,145,102,AKIKO'S SUSHI BAR,542A MASON ST ,San Francisco,CA,94102,37.788484,-122.410045,,90,20121206,routine
104,150,104,INO SUSHI,22 PEACE PLAZA  #510,San Francisco,CA,94115,37.785018,-122.429587,14155923121.0,98,20130305,routine
